"DISS_NO","DISS_NM","ENG_DISS_NM","INFO_OFFER_NM","RGSDE","MAIN_INFC_ANIMAL","CAUSE_CMMN_CL"
28,"돼지단독","Swine erysipelas","문진산",2007-09-18,"돼지","세균"
29,"돼지로타바이러스감염증","Porcine rotavirus infection","김병한",2007-09-18,"돼지","바이러스"
30,"돼지생식기호흡기증후군","Porcine reproductive and respiratory syndrom","배유찬",2007-09-18,"돼지","바이러스"
31,"돼지수포병","Swine vesicular disease","박종현",2007-09-18,"돼지","기타"
32,"돼지써코바이러스감염증","PCV-2 infection","양동군",2007-09-18,"돼지","바이러스"
33,"돼지유행성설사병","Porcine epidemic diarrhea","현방훈",2007-09-18,"돼지","바이러스"
34,"돼지적리","Swine dysentery","임숙경",2007-09-18,"돼지","세균"
35,"돼지열병","Classical swine fever","송재영",2007-09-18,"돼지","바이러스"
36,"돼지파보바이러스감염증","Porcine parvovirus infection","김성희",2007-09-18,"돼지","기타"
37,"돼지호흡기코로나바이러스감염증","Porcine respiratory coronaviral infection","노인순",2007-09-18,"돼지","바이러스"
38,"흉막폐렴","Pleuropneumonia of pigs","이희수",2007-09-18,"돼지","세균"
39,"럼피스킨병","Lumpy skin disease","조인수",2007-09-18,"소,기타 미분류","기타"
40,"레오바이러스감염증","Reovirus infection","최강석",2007-09-18,"닭,소,기타 미분류,돼지","기타"
41,"렙토스피라병","Leptospirosis","문진산",2007-09-18,"소","세균"
42,"리스테리아병","Listeriosis","임숙경",2007-09-18,"닭,소,개,너구리,면양,기타 미분류,돼지,야생동물,산양,면양,쥐-랫트","세균"
43,"리프트계곡열","Rift valley fever","예정용",2007-09-18,"소,면양,산양,면양","기타"
44,"마렉병","Marek's disease","최강석",2007-09-18,"닭","기타"
45,"닭 마이코플라즈마병","Avian mycoplasmosis","강민수",2007-09-18,"닭","기타"
46,"마이코플라즈마폐렴","Mycoplasmal pneumonia","이희수",2007-09-18,"소,돼지","세균"
47,"말바이러스성동맥염","Equine viral arteritis","예정용",2007-09-18,"쥐-랫트","바이러스"
48,"말비저","Glanders","박연주",2007-09-18,"쥐-랫트","기타"
49,"말선역","Strangles","고영준",2007-09-18,"쥐-랫트","기타"
50,"말전염성빈혈","Equine infectious anemia","예정용",2007-09-18,"쥐-랫트","기타"
51,"밍크바이러스성장염","Mink viral enteritis","박종현",2007-09-18,"밍크","기타"
52,"밍크알류샨병","Aleutian disease in mink","차상호",2007-06-12,"밍크","기타"
53,"보툴리즘","Clostridium botulinum","김종만",2007-09-18,"소,야생조류-기타,돼지","세균"
54,"봉입체성간염","Inclusion body hepatitis","강민수",2007-09-18,"닭","기타"
55,"브루셀라병","Brucellosis","허은정",2007-09-18,"소,개,기타 미분류,돼지,야생동물","세균"
56,"부저병","American foulbrood disease","정우석",2007-09-18,"벌-꿀벌","기타"
57,"블루텅","Bluetongue","예정용",2007-09-18,"소,면양,기타 미분류","바이러스"
58,"사슴만성소모성질병","Chronic wasting disease","손현주",2007-09-18,"사슴","기타"
59,"살모넬라균증","Salmonellosis","이희수",2007-09-18,"소,돼지","세균"
60,"선모충증","richinosis","정우석",2007-09-18,"기타 미분류,돼지,쥐-마우스","기생충"
61,"소결핵병","Tuberculosis","윤순식",2007-09-18,"소,오소리,고양이,사슴,개,너구리,면양,기타 미분류,돼지,쥐-랫트","세균"
62,"소로타바이러스감염증","Bovine rotavirus infection","양동군",2007-09-18,"소","바이러스"
63,"소바베시아병","Babesiosis","정우석",2007-09-18,"소","기생충"
64,"소바이러스성설사","Bovine viral diarrhea","권창희",2007-09-18,"소,사슴,면양,산양,면양","기타"
65,"소백혈병","Bovine leukemia","윤순식",2007-09-18,"소","바이러스"
66,"소아데노바이러스감염증","Adenovirus infection","윤소라",2007-09-18,"소","기타"
67,"소유행열","Bovine ephemeral fever","권창희",2007-09-18,"소,기타 미분류","기타"
68,"소전염성비기관염","Infectious bovine rhinotracheitis","임성인",2007-09-18,"소","기타"
69,"소츄잔병","Chuzan disease","윤소라",2007-09-18,"소","기타"
70,"소캄필로박터증","Genital Campylobacteriosis","문진산",2007-09-18,"소","기생충"
71,"소콕시듐증","Coccidiosis","장환",2007-09-18,"소","기타"
73,"소RS바이러스병","Bovine respiratory syncytial virus infection","임성인",2007-09-18,"소","기타"
74,"수포성구내염","Vesicular stomatitis","고영준",2007-09-18,"소,면양,기타 미분류,돼지,야생동물,쥐-랫트","바이러스"
75,"스피로헤타증","Spirochetosis","최세은",2007-09-18,"닭","바이러스"
76,"소아까바네병","Akabane disease","양동군",2007-09-18,"소","기타"
77,"아나플라즈마병","Anaplasmasis","정우석",2007-09-18,"소,사슴","기생충"
78,"아이노바이러스감염증","Aino virus infection","양동군",2007-09-18,"소","바이러스"
79,"아프리카돼지열병","African swine fever","예정용",2007-09-18,"기타 미분류,돼지","바이러스"
80,"아프리카마역","African horse sickness","예정용",2007-09-18,"기타 미분류,쥐-랫트","기타"
81,"에드워드병","Edwardsiellosis","조성준",2007-11-07,"어류","기타"
82,"에로모나스증","Aeromonas infection","조성준",2007-09-18,"어류","기타"
83,"에페리스로조아병","Eperythrozoonosis","최세은",2007-09-18,"소,돼지","기타"
84,"연쇄상구균감염증","Streptococcosis","정병열",2007-09-18,"야생조류-기타,기타 미분류,돼지","세균"
85,"오리바이러스성간염","Duck hepatitis","강민수",2007-09-18,"오리","바이러스"
86,"오리패혈증","Remerella infection","조성준",2007-09-18,"오리","기타"
87,"오제스키병","Aujeszky's disease","송재영",2007-09-18,"돼지","기타"
88,"요네병","Johne's disease","황인영",2007-09-18,"소,사슴,면양,돼지,산양,면양","기타"
89,"우역","Rinderpest","예정용",2007-09-18,"소","바이러스"
90,"우폐역","Contagious Bovine Pleuropneumonia","박지용",2007-09-18,"소,기타 미분류","기타"
91,"웨스트나일열","West nile fever","고영준",2007-09-18,"소,고양이,개,토끼,너구리,야생조류,기타 미분류","기타"
92,"위축성비염","Atrophic rhinitis","이희수",2007-09-18,"돼지","세균"
93,"유방염","Mastitis","강현미",2007-09-18,"소","기타"
94,"이바라기병","Ibaraki disease","양동군",2007-09-18,"소","바이러스"
95,"돼지일본뇌염","Japanese B Encephalitis","김성희",2007-09-18,"돼지","바이러스"
96,"장독혈증","Enterotoxemia","이희수",2007-09-18,"소,면양,돼지,산양,면양","세균"
97,"전염성기관지염","Infectious bronchitis","이윤정",2007-09-18,"닭","기타"
98,"전염성비염","Snuffles","정병열",2007-09-18,"토끼","세균"
99,"돼지전염성위장염","Transmissible gastroenteritis","현방훈",2007-09-18,"돼지","기타"
100,"전염성후두기관염","Infectious laryngotracheitis","최준구",2007-09-18,"야생조류","기타"
101,"전염성F낭병","Infectiious bursal disease","이윤정",2007-09-18,"닭","기타"
102,"닭백혈병","Lymphoid Leukosis","최강석",2007-06-07,"야생조류-기타","바이러스"
103,"저병원성조류인플루엔자","Avian virus influenza","최강석",2007-09-18,"야생조류-기타","기타"
104,"지간부란","Foot Rot","강현미",2007-05-28,"소,기타 미분류","세균"
105,"추백리","Pullorum disease","허문",2007-09-18,"닭,칠면조,메추리","기타"
106,"칸디다증","Candidiasis","최세은",2007-09-18,"닭,칠면조,메추리","곰팡이"
107,"큐열","Q fever","엄재구",2007-09-18,"소,고양이,사슴,개,면양,산양,면양","세균"
109,"크립토스포리디움증","Cryptosporidiosis","강승원",2007-09-18,"소,고양이,개,면양,기타 미분류,쥐-마우스,쥐-랫트","기타"
110,"클라미디아병","Chlamydiosis","엄재구",2007-09-18,"소,야생조류-기타,기타 미분류,돼지","세균"
112,"탄저","Anthrax","조윤상",2007-09-18,"소,면양,돼지,쥐-랫트","세균"
113,"토끼바이러스성출혈병","Viral haemorrhagic fever of rabbit","김병한",2007-09-18,"토끼","기타"
115,"개코로나바이러스감염증","Canine coronavirus infection","차상호",2007-10-25,"개","바이러스"
116,"소부제병","Foot rot","강현미",2007-10-25,"소","세균"
117,"파스튜렐라폐렴","Pasteurella Pneumonia","이희수",2007-10-25,"돼지","세균"
118,"스크래피","Scrapie","손현주",2007-10-25,"면양,산양,면양","기타"
119,"류코사이토준병","Leucocytozoonosis","정우석",2007-10-30,"닭,오리,꿩,칠면조","기생충"
120,"소해면상뇌증","Bovine Spongiform Encephalopathy","조인수",2007-11-07,"소","기타"
121,"타이레리아","Theilerosis : T.parma, emulata","최세은",2007-11-07,"소","기생충"
1,"가금티푸스","Fowl typhoid","허문",2007-09-18,"닭","세균"
2,"가성우역","Peste des petits ruminants","예정용",2007-09-18,"소,사슴,면양,기타 미분류,산양,면양","바이러스"
3,"가금콜레라","Fowl cholera","정우석",2007-09-18,"닭,오리,야생조류","세균"
4,"간질증","Liver fluke or Fascioliasis","장환",2007-09-18,"면양","기생충"
5,"개디스템퍼","Canine distemper","최은진",2007-09-18,"개","바이러스"
6,"개보데텔라폐렴","Pneumonic bordetellosis of dogs","정병열",2007-09-18,"개","세균"
7,"개선충증","Mange or Scabs","정우석",2007-09-18,"기타 미분류,돼지","기생충"
8,"개파보바이러스감염증","Canine parvovirus infection","박종현",2007-09-18,"개","바이러스"
9,"계두","Fowl pox","최준구",2007-09-18,"야생조류-기타","기타"
11,"곰팡이성폐렴","Aspergillosis","조성준",2007-06-04,"야생조류-기타","곰팡이"
12,"광견병","Rabies","안동준",2007-09-18,"소,고양이,기타 미분류","바이러스"
13,"구제역","Foot and mouth disease","박종현",2007-09-18,"소,사슴,면양,기타 미분류,돼지","바이러스"
14,"글래서씨병","Glasser's disease","배유찬",2007-09-18,"돼지","세균"
15,"기종저","Blackleg","조윤상",2007-09-18,"소,면양,돼지","기타"
16,"꿀벌백묵병","Chalkbrood disease","정우석",2007-09-18,"벌-꿀벌","곰팡이"
17,"낭미충증","Cysticercosis","강승원",2007-09-18,"돼지","기타"
18,"네오스포라병","Neosporosis","정우석",2007-09-18,"소,개,면양,기타 미분류","기생충"
19,"노제마병","Nosema disease","장환",2007-09-18,"벌-꿀벌","기타"
20,"뇌척수염","Avian encephalomyelitis","이윤정",2007-09-18,"닭,꿩,칠면조,메추리","바이러스"
21,"뉴캣슬병","Newcastle disease","최강석",2007-09-18,"닭,꿩,메추리","기타"
22,"니파바이러스감염증","Nipahvirus infection","나진주",2007-09-18,"고양이,개,돼지,산양,면양,쥐-랫트","기타"
23,"닭세망내피증","Reticuloendotheliosis","최강석",2007-09-18,"닭,오리,칠면조","바이러스"
24,"닭콕시듐증","Coccidiosis","장환",2007-06-04,"닭","기타"
25,"대장균증","Colibacillosis","이희수",2007-09-18,"소,돼지","세균"
26,"돼지게타바이러스감염증","Porcine getahvirus disease","최강석",2007-09-18,"소,돼지,쥐-랫트","바이러스"
27,"돼지뇌심근염","Encephalomyocarditis","김성희",2007-09-18,"돼지","기타,바이러스"
