Name,FacilityType,Location,OpeningHours,CloseDay,EstablishedYear,Remark,lat,lon,coord_status,Sido,Sigungu,region_key
용인(강릉),놀이터,휴게소- 주유소 사이,08:00~20:00,연중무휴,2018,,37.2515,127.1942,ok,경기도,용인시,경기도_용인시
덕평,놀이터,입구로부터 50m,10:00~19:00(동절기 18시까지),연중무휴,2013,,37.308,127.405,ok,경기도,이천시,경기도_이천시
충주(양평),놀이터,휴게소 전망대 옆,24시간,연중무휴,2017,,37.006,127.891,ok,충청북도,충주시,충청북도_충주시
단양팔경(부산),놀이터,매장 뒤 테마공원내,24시간,연중무휴,2019,,36.9888,128.3642,ok,충청북도,단양군,충청북도_단양군
금왕(제천),놀이터,매장으로부터 38m,24시간,연중무휴,2019,,36.9629,127.5993,ok,충청북도,음성군,충청북도_음성군
화서(영덕),놀이터,테마공원 내,24시간,연중무휴,2019,,37.0152,127.0228,ok,경기도,화성시,경기도_화성시
죽암(서울),놀이터,휴게소 우측 30m,24시간,연중무휴,2013,,36.9738,126.9523,ok,충청남도,당진시,충청남도_당진시
서산(목포),놀이터,입구로부터 300m,24시간,연중무휴,2016,,36.7747,126.4957,ok,충청남도,서산시,충청남도_서산시
군산(서울),놀이터,입구로부터 200m,24시간,연중무휴,2016,,35.9887,126.7012,ok,전라북도,군산시,전라북도_군산시
오수(완주),놀이터,창업매장- 열린매장 사이,08:00~20:00(동절기 18시까지),연중무휴,2017,,35.588,127.361,ok,전라북도,임실군,전라북도_임실군
진주(부산),놀이터,본관에서 25m,10시~21시(동절기 18시까지),매주월요일 휴무- 우천시,2016,21년10월 확장,35.198,128.091,ok,경상남도,진주시,경상남도_진주시
신탄진(서울),놀이터,휴게소 건물 우측 야구장 옆,09:00~18:00(동절기 17시까지),연중무휴,2019,현재 하이패스 나들목 공사로 휴장 중,36.468,127.384,ok,대전광역시,대덕구,대전광역시_대덕구
매송(목포),놀이터,휴게소- 주유소 사이,24시간,연중무휴,2018,,37.206,126.833,ok,경기도,화성시,경기도_화성시
매송(서울),놀이터,휴게소- 주유소 사이,24시간,연중무휴,2018,,37.208,126.835,ok,경기도,화성시,경기도_화성시
마장,놀이터,상행서 푸드코트 앞,08:00~20:00,연중무휴,2023,,37.546,127.135,ok,경기도,이천시,경기도_이천시
언양(서울),놀이터,휴게소 후면,24시간,연중무휴,2023,,35.5663,129.0844,ok,울산광역시,울주군,울산광역시_울주군
천안삼거리(서울),놀이터,주유소 우측 50M지점(휴게소- 주유소 사이),08:30~20:30,연중무휴,2024,,36.818,127.152,ok,충청남도,천안시,충청남도_천안시
남한강,놀이터,매장뒤 펫그라운드,24시간,연중무휴,2024,,37.469,127.699,ok,경기도,여주시,경기도_여주시
남한강,놀이터,2층옥상엘로우스탑,10:00~18:00,연중무휴,2024,,37.469,127.699,ok,경기도,여주시,경기도_여주시
추풍령(부산),놀이터,추풍령 테마파크 내,09:00~18:00,매주 월요일 휴무,2024,,36.2221,127.844,ok,충청북도,영동군,충청북도_영동군
