Name,FacilityType,Location,OpeningHours,CloseDay,EstablishedYear,Remark
용인(강릉),놀이터,휴게소- 주유소 사이,08:00~20:00,연중무휴,2018,
덕평,놀이터,입구로부터 50m,10:00~19:00(동절기 18시까지),연중무휴,2013,
충주(양평),놀이터,휴게소 전망대 옆,24시간,연중무휴,2017,
단양팔경(부산),놀이터,매장 뒤 테마공원내,24시간,연중무휴,2019,
금왕(제천),놀이터,매장으로부터 38m,24시간,연중무휴,2019,
화서(영덕),놀이터,테마공원 내,24시간,연중무휴,2019,
죽암(서울),놀이터,휴게소 우측 30m,24시간,연중무휴,2013,
서산(목포),놀이터,입구로부터 300m,24시간,연중무휴,2016,
군산(서울),놀이터,입구로부터 200m,24시간,연중무휴,2016,
오수(완주),놀이터,창업매장- 열린매장 사이,08:00~20:00(동절기 18시까지),연중무휴,2017,
진주(부산),놀이터,본관에서 25m,10시~21시(동절기 18시까지),매주월요일 휴무- 우천시,2016,21년10월 확장
신탄진(서울),놀이터,휴게소 건물 우측 야구장 옆,09:00~18:00(동절기 17시까지),연중무휴,2019,현재 하이패스 나들목 공사로 휴장 중
매송(목포),놀이터,휴게소- 주유소 사이,24시간,연중무휴,2018,
매송(서울),놀이터,휴게소- 주유소 사이,24시간,연중무휴,2018,
마장,놀이터,상행서 푸드코트 앞,08:00~20:00,연중무휴,2023,
언양(서울),놀이터,휴게소 후면,24시간,연중무휴,2023,
천안삼거리(서울),놀이터,주유소 우측 50M지점(휴게소- 주유소 사이),08:30~20:30,연중무휴,2024,
남한강,놀이터,매장뒤 펫그라운드,24시간,연중무휴,2024,
남한강,놀이터,2층옥상엘로우스탑,10:00~18:00,연중무휴,2024,
추풍령(부산),놀이터,추풍령 테마파크 내,09:00~18:00,매주 월요일 휴무,2024,
